"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"27213","BONLEE, NC","G",29,"H",269,"H",1012,4,"BONLEE","NC","CHATHAM"
"27214","BROWNS SUMMIT, NC","G",3320,"G",54941,"G",240374,145,"BROWNS SUMMIT","NC","GUILFORD"
"27215","BURLINGTON, NC","G",31351,"H",396960,"H",1581261,1568,"BURLINGTON","NC","ALAMANCE"
"27216","BURLINGTON, NC","G",1005,"G",11907,"H",60083,29,"BURLINGTON","NC","ALAMANCE"
"27217","BURLINGTON, NC","G",5861,"G",65828,"G",255529,531,"BURLINGTON","NC","ALAMANCE"
"27229","CANDOR, NC","G",668,"G",8007,"H",30387,46,"CANDOR","NC","MONTGOMERY"
"27230","CEDAR FALLS, NC","G",9,"J",161,"G",592,3,"CEDAR FALLS","NC","RANDOLPH"
"27231","CEDAR GROVE, NC","J",80,"H",602,"H",2763,30,"CEDAR GROVE","NC","ORANGE"
"27233","CLIMAX, NC","G",522,"H",10522,"G",37241,49,"CLIMAX","NC","GUILFORD"
"27235","COLFAX, NC","G",3297,"G",46267,"G",198151,142,"COLFAX","NC","GUILFORD"
"27239","DENTON, NC","H",1717,"H",16736,"H",68160,164,"DENTON","NC","DAVIDSON"
"27242","EAGLE SPRINGS, NC","J",69,"J",845,"J",3873,16,"EAGLE SPRINGS","NC","MOORE"
"27243","EFLAND, NC","H",275,"G",2187,"G",9724,57,"EFLAND","NC","ORANGE"
"27244","ELON, NC","H",3547,"J",46472,"J",196493,153,"ELON","NC","ALAMANCE"
"27248","FRANKLINVILLE, NC","H",514,"H",4977,"H",20748,49,"FRANKLINVILLE","NC","RANDOLPH"
"27249","GIBSONVILLE, NC","H",1059,"G",9282,"G",40139,171,"GIBSONVILLE","NC","GUILFORD"
"27252","GOLDSTON, NC","H",201,"H",2272,"H",10154,36,"GOLDSTON","NC","CHATHAM"
"27253","GRAHAM, NC","G",6313,"G",70056,"G",295008,577,"GRAHAM","NC","ALAMANCE"
"27256","GULF, NC","G",79,"H",352,"H",1584,5,"GULF","NC","CHATHAM"
"27258","HAW RIVER, NC","G",1370,"G",16952,"G",67464,105,"HAW RIVER","NC","ALAMANCE"
"27259","HIGHFALLS, NC","H",68,"H",870,"H",3795,6,"HIGHFALLS","NC","MOORE"
"27260","HIGH POINT, NC","G",11975,"G",166199,"G",666970,612,"HIGH POINT","NC","GUILFORD"
"27261","HIGH POINT, NC","G",1442,"G",30432,"G",101432,28,"HIGH POINT","NC","GUILFORD"
"27262","HIGH POINT, NC","G",13525,"H",178669,"H",724895,885,"HIGH POINT","NC","GUILFORD"
"27263","HIGH POINT, NC","G",13995,"G",171555,"G",692809,737,"HIGH POINT","NC","GUILFORD"
"27264","HIGH POINT, NC","G",12,"H",81,"G",525,3,"HIGH POINT","NC","GUILFORD"
"27265","HIGH POINT, NC","G",16364,"G",226858,"G",884466,1115,"HIGH POINT","NC","GUILFORD"
"27278","HILLSBOROUGH, NC","G",8043,"G",99594,"G",435461,670,"HILLSBOROUGH","NC","ORANGE"
"27281","JACKSON SPRINGS, NC","H",331,"H",4691,"H",15806,35,"JACKSON SPRINGS","NC","MOORE"
"27282","JAMESTOWN, NC","G",3504,"G",41224,"G",166931,306,"JAMESTOWN","NC","GUILFORD"
"27283","JULIAN, NC","J",200,"H",2057,"H",8662,38,"JULIAN","NC","GUILFORD"
"27284","KERNERSVILLE, NC","G",22671,"G",253132,"G",1045062,1444,"KERNERSVILLE","NC","FORSYTH"
"27285","KERNERSVILLE, NC","J",997,"J",18279,"H",63815,27,"KERNERSVILLE","NC","FORSYTH"
"27288","EDEN, NC","G",5840,"G",61505,"G",238901,409,"EDEN","NC","ROCKINGHAM"
"27289","EDEN, NC","H",91,"H",690,"H",2350,10,"EDEN","NC","ROCKINGHAM"
"27291","LEASBURG, NC","G",84,"G",733,"G",2852,15,"LEASBURG","NC","CASWELL"
"27292","LEXINGTON, NC","G",11289,"G",117872,"G",484196,871,"LEXINGTON","NC","DAVIDSON"
"27293","LEXINGTON, NC","H",833,"H",10283,"H",42759,20,"LEXINGTON","NC","DAVIDSON"
"27295","LEXINGTON, NC","G",6528,"G",70771,"G",290767,542,"LEXINGTON","NC","DAVIDSON"
"27298","LIBERTY, NC","G",2077,"G",26308,"G",120627,186,"LIBERTY","NC","RANDOLPH"
"27299","LINWOOD, NC","G",1153,"G",18475,"H",67398,44,"LINWOOD","NC","DAVIDSON"
"27301","MC LEANSVILLE, NC","H",2921,"H",72083,"H",270770,140,"MC LEANSVILLE","NC","GUILFORD"
"27302","MEBANE, NC","G",14254,"G",204990,"G",790502,700,"MEBANE","NC","ALAMANCE"
"27305","MILTON, NC","J",18,"J",140,"J",585,7,"MILTON","NC","CASWELL"
"27306","MOUNT GILEAD, NC","H",2013,"H",28432,"H",107553,105,"MOUNT GILEAD","NC","MONTGOMERY"
"27310","OAK RIDGE, NC","G",1653,"G",16485,"G",62459,202,"OAK RIDGE","NC","GUILFORD"
"27311","PELHAM, NC","J",95,"H",589,"H",2763,25,"PELHAM","NC","CASWELL"
"27312","PITTSBORO, NC","G",4519,"H",41378,"H",179190,567,"PITTSBORO","NC","CHATHAM"
"27313","PLEASANT GARDEN, NC","G",582,"G",5459,"G",23648,91,"PLEASANT GARDEN","NC","GUILFORD"
"27314","PROSPECT HILL, NC","J",119,"H",1616,"H",6314,12,"PROSPECT HILL","NC","CASWELL"
"27315","PROVIDENCE, NC","J",380,"J",4151,"J",16688,26,"PROVIDENCE","NC","CASWELL"
"27316","RAMSEUR, NC","G",1545,"G",13268,"G",53652,134,"RAMSEUR","NC","RANDOLPH"
"27317","RANDLEMAN, NC","G",4560,"G",48632,"G",185246,295,"RANDLEMAN","NC","RANDOLPH"
"27320","REIDSVILLE, NC","G",9232,"G",98406,"G",391236,683,"REIDSVILLE","NC","ROCKINGHAM"
"27323","REIDSVILLE, NC","H",37,"H",171,"G",753,13,"REIDSVILLE","NC","ROCKINGHAM"
"27325","ROBBINS, NC","G",537,"G",4485,"G",18576,74,"ROBBINS","NC","MOORE"
"27326","RUFFIN, NC","H",96,"G",479,"G",2077,30,"RUFFIN","NC","ROCKINGHAM"
"27330","SANFORD, NC","G",18824,"H",266363,"H",1048798,1029,"SANFORD","NC","LEE"
"27331","SANFORD, NC","H",609,"H",5076,"G",20823,30,"SANFORD","NC","LEE"
"27332","SANFORD, NC","G",6803,"H",77969,"H",321842,473,"SANFORD","NC","LEE"
"27340","SAXAPAHAW, NC","G",275,"G",2494,"G",10253,14,"SAXAPAHAW","NC","ALAMANCE"
"27341","SEAGROVE, NC","G",535,"G",4677,"G",19897,76,"SEAGROVE","NC","RANDOLPH"
"27343","SEMORA, NC","H",494,"H",11393,"H",36175,33,"SEMORA","NC","PERSON"
"27344","SILER CITY, NC","G",5900,"H",55949,"H",230460,380,"SILER CITY","NC","CHATHAM"
"27349","SNOW CAMP, NC","H",413,"H",4552,"H",19025,82,"SNOW CAMP","NC","ALAMANCE"
"27350","SOPHIA, NC","H",497,"H",5214,"H",23427,73,"SOPHIA","NC","RANDOLPH"
"27355","STALEY, NC","G",197,"H",2042,"H",8362,32,"STALEY","NC","RANDOLPH"
"27356","STAR, NC","G",550,"G",6344,"G",31989,42,"STAR","NC","MONTGOMERY"
"27357","STOKESDALE, NC","G",1379,"G",15565,"G",61781,199,"STOKESDALE","NC","GUILFORD"
"27358","SUMMERFIELD, NC","H",1952,"H",18852,"H",79347,279,"SUMMERFIELD","NC","GUILFORD"
"27359","SWEPSONVILLE, NC","J",698,"J",14761,"J",70261,4,"SWEPSONVILLE","NC","ALAMANCE"
"27360","THOMASVILLE, NC","G",12657,"H",189412,"H",709980,870,"THOMASVILLE","NC","DAVIDSON"
"27361","THOMASVILLE, NC","J",1584,"J",20965,"J",91346,33,"THOMASVILLE","NC","DAVIDSON"
"27370","TRINITY, NC","H",1563,"H",24553,"H",85964,143,"TRINITY","NC","RANDOLPH"
"27371","TROY, NC","G",2488,"G",29126,"G",148380,190,"TROY","NC","MONTGOMERY"
"27373","WALLBURG, NC","J",228,"J",3693,"J",16688,6,"WALLBURG","NC","DAVIDSON"
"27374","WELCOME, NC","G",2821,"G",40723,"G",165185,30,"WELCOME","NC","DAVIDSON"
"27376","WEST END, NC","G",2214,"G",23188,"G",98895,242,"WEST END","NC","MOORE"
"27377","WHITSETT, NC","G",4514,"G",62320,"G",235306,164,"WHITSETT","NC","GUILFORD"
"27379","YANCEYVILLE, NC","G",890,"G",6891,"G",31846,89,"YANCEYVILLE","NC","CASWELL"
"27401","GREENSBORO, NC","G",23438,"G",511003,"G",1835543,944,"GREENSBORO","NC","GUILFORD"
"27402","GREENSBORO, NC","J",400,"J",3436,"J",12920,23,"GREENSBORO","NC","GUILFORD"
"27403","GREENSBORO, NC","H",7970,"H",78505,"H",376946,534,"GREENSBORO","NC","GUILFORD"
"27404","GREENSBORO, NC","H",157,"G",888,"G",4127,15,"GREENSBORO","NC","GUILFORD"
"27405","GREENSBORO, NC","G",13645,"G",168574,"G",671198,920,"GREENSBORO","NC","GUILFORD"
"27406","GREENSBORO, NC","G",20766,"G",269975,"G",1006852,1166,"GREENSBORO","NC","GUILFORD"
"27407","GREENSBORO, NC","G",29755,"G",313320,"G",1271222,1621,"GREENSBORO","NC","GUILFORD"
"27408","GREENSBORO, NC","G",18284,"G",297767,"G",1146991,1210,"GREENSBORO","NC","GUILFORD"
"27409","GREENSBORO, NC","G",36857,"G",741123,"G",2723158,1044,"GREENSBORO","NC","GUILFORD"
"27410","GREENSBORO, NC","G",27326,"H",385642,"H",1498288,1448,"GREENSBORO","NC","GUILFORD"
"27411","GREENSBORO, NC","J",342,"J",1406,"J",5379,16,"GREENSBORO","NC","GUILFORD"
"27412","GREENSBORO, NC","G",100,"G",377,"G",1463,6,"GREENSBORO","NC","GUILFORD"
"27415","GREENSBORO, NC","J",85,"J",552,"J",2441,8,"GREENSBORO","NC","GUILFORD"
"27416","GREENSBORO, NC","J",192,"J",3272,"J",13549,10,"GREENSBORO","NC","GUILFORD"
"27417","GREENSBORO, NC","J",165,"J",2438,"J",11832,7,"GREENSBORO","NC","GUILFORD"
"27419","GREENSBORO, NC","G",497,"G",9956,"G",42890,21,"GREENSBORO","NC","GUILFORD"
"27420","GREENSBORO, NC","J",524,"H",3096,"H",13202,12,"GREENSBORO","NC","GUILFORD"
"27425","GREENSBORO, NC","G",6,"H",78,"H",314,4,"GREENSBORO","NC","GUILFORD"
"27427","GREENSBORO, NC","G",225,"H",881,"H",3394,16,"GREENSBORO","NC","GUILFORD"
"27429","GREENSBORO, NC","J",36,"J",304,"J",1437,5,"GREENSBORO","NC","GUILFORD"
"27438","GREENSBORO, NC","J",438,"J",10062,"J",46124,9,"GREENSBORO","NC","GUILFORD"
"27455","GREENSBORO, NC","G",5091,"G",60601,"G",240672,531,"GREENSBORO","NC","GUILFORD"
"27501","ANGIER, NC","G",2638,"G",23210,"G",106171,383,"ANGIER","NC","HARNETT"
"27502","APEX, NC","G",12627,"G",142812,"G",593829,1281,"APEX","NC","WAKE"
"27503","BAHAMA, NC","H",303,"G",3308,"G",16440,75,"BAHAMA","NC","DURHAM"
"27504","BENSON, NC","G",4168,"G",38684,"G",165343,404,"BENSON","NC","JOHNSTON"
"27505","BROADWAY, NC","G",377,"G",3212,"G",13751,74,"BROADWAY","NC","LEE"
"27506","BUIES CREEK, NC","J",2029,"J",20160,"J",80497,15,"BUIES CREEK","NC","HARNETT"
"27507","BULLOCK, NC","H",61,"G",503,"G",2149,11,"BULLOCK","NC","GRANVILLE"
"27508","BUNN, NC","H",336,"G",2110,"G",8646,36,"BUNN","NC","FRANKLIN"
"27509","BUTNER, NC","H",5621,"H",65938,"H",265445,66,"BUTNER","NC","GRANVILLE"
"27510","CARRBORO, NC","G",3381,"G",40718,"G",169380,417,"CARRBORO","NC","ORANGE"
"27511","CARY, NC","G",26347,"G",460034,"G",1893534,1469,"CARY","NC","WAKE"
"27512","CARY, NC","G",136,"G",1597,"G",5827,23,"CARY","NC","WAKE"
"27513","CARY, NC","G",28672,"H",797070,"H",2729252,1458,"CARY","NC","WAKE"
"27514","CHAPEL HILL, NC","H",26445,"H",404929,"H",1595540,994,"CHAPEL HILL","NC","ORANGE"
"27515","CHAPEL HILL, NC","G",171,"G",2143,"G",7907,16,"CHAPEL HILL","NC","ORANGE"
"27516","CHAPEL HILL, NC","G",5239,"G",62328,"G",276883,790,"CHAPEL HILL","NC","ORANGE"
"27517","CHAPEL HILL, NC","G",8767,"G",153552,"G",586170,793,"CHAPEL HILL","NC","ORANGE"
"27518","CARY, NC","G",19913,"G",534082,"G",1989641,1068,"CARY","NC","WAKE"
"27519","CARY, NC","G",8340,"G",93136,"G",411496,1206,"CARY","NC","WAKE"
"27520","CLAYTON, NC","G",13795,"G",190463,"G",757044,1000,"CLAYTON","NC","JOHNSTON"
"27521","COATS, NC","G",671,"G",5528,"G",22521,101,"COATS","NC","HARNETT"
"27522","CREEDMOOR, NC","H",4528,"H",62094,"H",236971,296,"CREEDMOOR","NC","GRANVILLE"
"27523","APEX, NC","G",3140,"G",34724,"G",152795,368,"APEX","NC","WAKE"
"27524","FOUR OAKS, NC","G",1198,"G",10957,"G",48506,189,"FOUR OAKS","NC","JOHNSTON"
"27525","FRANKLINTON, NC","H",2240,"J",46764,"J",159437,205,"FRANKLINTON","NC","FRANKLIN"
"27526","FUQUAY VARINA, NC","G",12073,"G",139681,"G",563912,1199,"FUQUAY VARINA","NC","WAKE"
"27527","CLAYTON, NC","H",5363,"H",111870,"H",346680,400,"CLAYTON","NC","JOHNSTON"
"27528","CLAYTON, NC","J",74,"J",620,"J",2686,17,"CLAYTON","NC","JOHNSTON"
"27529","GARNER, NC","G",23014,"G",276457,"G",1142761,1536,"GARNER","NC","WAKE"
"27530","GOLDSBORO, NC","G",11932,"G",139458,"G",544469,799,"GOLDSBORO","NC","WAYNE"
"27531","GOLDSBORO, NC","G",149,"H",2312,"G",9657,23,"GOLDSBORO","NC","WAYNE"
"27532","GOLDSBORO, NC","H",314,"H",2932,"H",11550,21,"GOLDSBORO","NC","WAYNE"
"27533","GOLDSBORO, NC","H",349,"H",4367,"G",15446,33,"GOLDSBORO","NC","WAYNE"
"27534","GOLDSBORO, NC","G",13009,"G",125839,"G",516017,786,"GOLDSBORO","NC","WAYNE"
"27536","HENDERSON, NC","G",9006,"G",90692,"G",374035,569,"HENDERSON","NC","VANCE"
"27537","HENDERSON, NC","G",3562,"G",42493,"G",174130,257,"HENDERSON","NC","VANCE"
"27539","APEX, NC","G",5391,"G",84315,"G",334340,482,"APEX","NC","WAKE"
"27540","HOLLY SPRINGS, NC","G",11754,"G",132729,"G",564696,1016,"HOLLY SPRINGS","NC","WAKE"
"27541","HURDLE MILLS, NC","G",236,"H",1971,"G",7846,58,"HURDLE MILLS","NC","PERSON"
"27542","KENLY, NC","G",1690,"G",18183,"G",70711,135,"KENLY","NC","JOHNSTON"
"27544","KITTRELL, NC","H",429,"H",4625,"G",17571,42,"KITTRELL","NC","VANCE"
"27545","KNIGHTDALE, NC","G",8145,"G",92176,"G",367595,653,"KNIGHTDALE","NC","WAKE"
"27546","LILLINGTON, NC","G",3745,"G",39654,"G",160594,326,"LILLINGTON","NC","HARNETT"
"27549","LOUISBURG, NC","G",4059,"G",36300,"G",150429,469,"LOUISBURG","NC","FRANKLIN"
"27551","MACON, NC","H",80,"G",736,"G",3111,15,"MACON","NC","WARREN"
"27553","MANSON, NC","G",215,"H",4065,"H",12443,15,"MANSON","NC","VANCE"
"27555","MICRO, NC","H",46,"G",292,"H",1094,12,"MICRO","NC","JOHNSTON"
"27556","MIDDLEBURG, NC","G",67,"G",201,"G",837,7,"MIDDLEBURG","NC","VANCE"
"27557","MIDDLESEX, NC","G",794,"G",8842,"G",34452,114,"MIDDLESEX","NC","NASH"
"27559","MONCURE, NC","G",1196,"G",20286,"G",80401,69,"MONCURE","NC","CHATHAM"
"27560","MORRISVILLE, NC","G",61760,"G",1540135,"G",5931242,1559,"MORRISVILLE","NC","WAKE"
"27562","NEW HILL, NC","H",1049,"H",34827,"H",109219,98,"NEW HILL","NC","WAKE"
"27563","NORLINA, NC","H",479,"H",3348,"H",14531,56,"NORLINA","NC","WARREN"
"27565","OXFORD, NC","G",7445,"G",102064,"G",401920,469,"OXFORD","NC","GRANVILLE"
"27568","PINE LEVEL, NC","J",363,"H",2842,"H",12578,33,"PINE LEVEL","NC","JOHNSTON"
"27569","PRINCETON, NC","H",719,"G",5627,"G",24558,115,"PRINCETON","NC","JOHNSTON"
"27570","RIDGEWAY, NC","J",10,"J",41,"G",138,3,"RIDGEWAY","NC","WARREN"
"27571","ROLESVILLE, NC","G",1453,"G",13063,"G",53852,194,"ROLESVILLE","NC","WAKE"
"27572","ROUGEMONT, NC","H",328,"G",3573,"G",15264,95,"ROUGEMONT","NC","DURHAM"
"27573","ROXBORO, NC","G",5881,"G",61892,"G",245413,426,"ROXBORO","NC","PERSON"
"27574","ROXBORO, NC","G",1044,"G",14948,"G",56039,133,"ROXBORO","NC","PERSON"
"27576","SELMA, NC","G",3640,"G",40442,"G",171516,297,"SELMA","NC","JOHNSTON"
"27577","SMITHFIELD, NC","G",11205,"G",107899,"G",444051,829,"SMITHFIELD","NC","JOHNSTON"
"27581","STEM, NC","J",119,"H",1210,"H",5220,31,"STEM","NC","GRANVILLE"
"27582","STOVALL, NC","H",27,"G",170,"G",744,12,"STOVALL","NC","GRANVILLE"
"27583","TIMBERLAKE, NC","H",823,"H",8762,"H",32478,77,"TIMBERLAKE","NC","PERSON"
"27587","WAKE FOREST, NC","G",20587,"G",206903,"G",865106,1943,"WAKE FOREST","NC","WAKE"
"27588","WAKE FOREST, NC","G",269,"G",1666,"G",5866,18,"WAKE FOREST","NC","WAKE"
"27589","WARRENTON, NC","G",1019,"G",7654,"G",33149,133,"WARRENTON","NC","WARREN"
"27591","WENDELL, NC","G",4172,"G",57357,"G",252319,454,"WENDELL","NC","WAKE"
"27592","WILLOW SPRING, NC","G",883,"H",11744,"G",39918,233,"WILLOW SPRING","NC","WAKE"
"27593","WILSONS MILLS, NC","H",82,"H",1978,"H",5025,6,"WILSONS MILLS","NC","JOHNSTON"
"27594","WISE, NC","J",4,"J",87,"J",413,3,"WISE","NC","WARREN"
"27596","YOUNGSVILLE, NC","G",5691,"H",92227,"H",382095,446,"YOUNGSVILLE","NC","FRANKLIN"
"27597","ZEBULON, NC","G",5823,"G",81555,"G",333804,516,"ZEBULON","NC","WAKE"
"27599","CHAPEL HILL, NC","H",795,"H",6664,"H",29361,23,"CHAPEL HILL","NC","ORANGE"
"27601","RALEIGH, NC","H",22797,"H",670535,"H",2603921,879,"RALEIGH","NC","WAKE"
"27602","RALEIGH, NC","H",177,"G",2454,"G",10343,45,"RALEIGH","NC","WAKE"
"27603","RALEIGH, NC","G",26039,"G",415713,"G",1655506,1853,"RALEIGH","NC","WAKE"
"27604","RALEIGH, NC","G",23469,"G",381371,"G",1366692,1468,"RALEIGH","NC","WAKE"
"27605","RALEIGH, NC","H",6287,"H",83296,"H",347165,457,"RALEIGH","NC","WAKE"
"27606","RALEIGH, NC","G",15821,"G",331945,"G",1160652,964,"RALEIGH","NC","WAKE"
"27607","RALEIGH, NC","G",33657,"G",689088,"G",2671482,1139,"RALEIGH","NC","WAKE"
"27608","RALEIGH, NC","G",4142,"H",61411,"H",245658,471,"RALEIGH","NC","WAKE"
"27609","RALEIGH, NC","G",42100,"G",851562,"G",3210442,2191,"RALEIGH","NC","WAKE"
"27610","RALEIGH, NC","G",22246,"H",341819,"H",1448703,1047,"RALEIGH","NC","WAKE"
"27611","RALEIGH, NC","J",1606,"H",49297,"H",143767,41,"RALEIGH","NC","WAKE"
"27612","RALEIGH, NC","G",27616,"G",476571,"G",1902452,1598,"RALEIGH","NC","WAKE"
"27613","RALEIGH, NC","G",8191,"G",84907,"G",356036,985,"RALEIGH","NC","WAKE"
"27614","RALEIGH, NC","H",9499,"H",138609,"H",601985,858,"RALEIGH","NC","WAKE"
"27615","RALEIGH, NC","G",26074,"G",444653,"G",1718387,2013,"RALEIGH","NC","WAKE"
"27616","RALEIGH, NC","G",20031,"G",281332,"G",1161671,1221,"RALEIGH","NC","WAKE"
"27617","RALEIGH, NC","G",20564,"G",344797,"G",1385361,935,"RALEIGH","NC","WAKE"
"27619","RALEIGH, NC","H",176,"H",1582,"H",5437,11,"RALEIGH","NC","WAKE"
"27620","RALEIGH, NC","J",14,"G",110,"G",439,3,"RALEIGH","NC","WAKE"
"27622","RALEIGH, NC","J",534,"J",6288,"J",28216,10,"RALEIGH","NC","WAKE"
"27623","RALEIGH, NC","H",1413,"H",14755,"H",61128,27,"RALEIGH","NC","WAKE"
"27624","RALEIGH, NC","H",362,"H",2438,"H",10412,20,"RALEIGH","NC","WAKE"
"27627","RALEIGH, NC","H",118,"H",2459,"H",11461,7,"RALEIGH","NC","WAKE"
"27628","RALEIGH, NC","H",44,"J",894,"H",4004,13,"RALEIGH","NC","WAKE"
"27629","RALEIGH, NC","H",34,"G",425,"G",1804,6,"RALEIGH","NC","WAKE"
"27636","RALEIGH, NC","H",81,"H",2456,"H",12348,5,"RALEIGH","NC","WAKE"
"27650","RALEIGH, NC","J",17,"H",243,"H",1745,3,"RALEIGH","NC","WAKE"
"27658","RALEIGH, NC","J",21,"H",114,"G",600,4,"RALEIGH","NC","WAKE"
"27661","RALEIGH, NC","J",15,"J",76,"J",340,4,"RALEIGH","NC","WAKE"
"27668","RALEIGH, NC","H",194,"H",2916,"H",13597,5,"RALEIGH","NC","WAKE"
"27675","RALEIGH, NC","G",133,"G",1777,"G",7987,12,"RALEIGH","NC","WAKE"
"27695","RALEIGH, NC","G",64,"H",544,"H",2327,10,"RALEIGH","NC","WAKE"
"27699","RALEIGH, NC","H",51,"H",919,"H",3283,3,"RALEIGH","NC","WAKE"
"27701","DURHAM, NC","G",19203,"G",534854,"G",1941829,1096,"DURHAM","NC","DURHAM"
"27702","DURHAM, NC","G",113,"G",1232,"G",5368,15,"DURHAM","NC","DURHAM"
"27703","DURHAM, NC","G",42737,"G",1130348,"G",4171145,1352,"DURHAM","NC","DURHAM"
"27704","DURHAM, NC","H",14222,"H",217651,"H",871268,733,"DURHAM","NC","DURHAM"
"27705","DURHAM, NC","G",21560,"H",315215,"H",1291430,1251,"DURHAM","NC","DURHAM"
"27707","DURHAM, NC","G",22350,"H",386585,"H",1372314,1319,"DURHAM","NC","DURHAM"
"27708","DURHAM, NC","J",20632,"J",333680,"J",1713635,25,"DURHAM","NC","DURHAM"
"27709","DURHAM, NC","G",35641,"H",1480525,"H",5807531,324,"DURHAM","NC","DURHAM"
"27710","DURHAM, NC","J",12859,"J",232700,"J",1037673,24,"DURHAM","NC","DURHAM"
"27711","DURHAM, NC","H",220,"H",5591,"H",20593,10,"DURHAM","NC","DURHAM"
"27712","DURHAM, NC","H",5843,"J",153013,"J",538155,296,"DURHAM","NC","DURHAM"
"27713","DURHAM, NC","G",27055,"G",468187,"G",1901394,1482,"DURHAM","NC","DURHAM"
"27715","DURHAM, NC","J",712,"J",4835,"J",22395,12,"DURHAM","NC","DURHAM"
"27717","DURHAM, NC","H",69,"H",335,"H",1414,7,"DURHAM","NC","DURHAM"
"27722","DURHAM, NC","J",34,"J",433,"J",1943,4,"DURHAM","NC","DURHAM"
"27801","ROCKY MOUNT, NC","H",5687,"H",48664,"H",205385,219,"ROCKY MOUNT","NC","EDGECOMBE"
"27802","ROCKY MOUNT, NC","H",835,"H",10693,"H",43666,35,"ROCKY MOUNT","NC","EDGECOMBE"
"27803","ROCKY MOUNT, NC","G",2710,"G",26783,"G",112370,259,"ROCKY MOUNT","NC","NASH"
"27804","ROCKY MOUNT, NC","G",23226,"H",302913,"G",1160910,1128,"ROCKY MOUNT","NC","NASH"
"27805","AULANDER, NC","H",350,"G",4766,"G",18685,40,"AULANDER","NC","BERTIE"
"27806","AURORA, NC","J",1408,"J",47785,"J",142281,46,"AURORA","NC","BEAUFORT"
"27807","BAILEY, NC","G",465,"G",3833,"G",17679,69,"BAILEY","NC","NASH"
"27808","BATH, NC","G",162,"G",1449,"G",6229,45,"BATH","NC","BEAUFORT"
"27809","BATTLEBORO, NC","H",1881,"H",25695,"H",107492,82,"BATTLEBORO","NC","EDGECOMBE"
"27810","BELHAVEN, NC","G",697,"G",5338,"G",22513,105,"BELHAVEN","NC","BEAUFORT"
"27811","BELLARTHUR, NC","H",67,"H",329,"H",1367,5,"BELLARTHUR","NC","PITT"
"27812","BETHEL, NC","G",230,"H",3414,"H",14266,42,"BETHEL","NC","PITT"
"27813","BLACK CREEK, NC","J",96,"J",758,"J",3304,6,"BLACK CREEK","NC","WILSON"
"27814","BLOUNTS CREEK, NC","J",48,"J",399,"J",1788,8,"BLOUNTS CREEK","NC","BEAUFORT"
"27816","CASTALIA, NC","G",74,"G",573,"G",2229,20,"CASTALIA","NC","NASH"
"27817","CHOCOWINITY, NC","H",854,"H",7056,"G",28229,97,"CHOCOWINITY","NC","BEAUFORT"
"27818","COMO, NC","J",43,"J",748,"J",3282,9,"COMO","NC","HERTFORD"
"27819","CONETOE, NC","G",24,"H",230,"H",901,3,"CONETOE","NC","EDGECOMBE"
"27820","CONWAY, NC","H",216,"H",2943,"H",9546,32,"CONWAY","NC","NORTHAMPTON"
"27822","ELM CITY, NC","G",742,"G",8888,"G",34834,107,"ELM CITY","NC","WILSON"
"27823","ENFIELD, NC","G",742,"G",7709,"G",31885,73,"ENFIELD","NC","HALIFAX"
"27824","ENGELHARD, NC","J",480,"J",8081,"J",39981,25,"ENGELHARD","NC","HYDE"
"27826","FAIRFIELD, NC","J",74,"H",1271,"H",4578,13,"FAIRFIELD","NC","HYDE"
"27827","FALKLAND, NC","J",22,"J",171,"J",524,4,"FALKLAND","NC","PITT"
"27828","FARMVILLE, NC","G",2093,"G",22761,"G",94934,190,"FARMVILLE","NC","PITT"
"27829","FOUNTAIN, NC","J",110,"J",1073,"J",4879,16,"FOUNTAIN","NC","PITT"
"27830","FREMONT, NC","H",394,"H",3851,"H",16863,65,"FREMONT","NC","WAYNE"
"27831","GARYSBURG, NC","H",1426,"G",18616,"G",64519,29,"GARYSBURG","NC","NORTHAMPTON"
"27832","GASTON, NC","H",804,"G",13039,"G",40972,37,"GASTON","NC","NORTHAMPTON"
"27833","GREENVILLE, NC","G",129,"H",1848,"H",12112,7,"GREENVILLE","NC","PITT"
"27834","GREENVILLE, NC","G",34934,"G",477202,"G",2044842,1300,"GREENVILLE","NC","PITT"
"27835","GREENVILLE, NC","G",684,"G",11976,"G",57406,49,"GREENVILLE","NC","PITT"
"27836","GREENVILLE, NC","H",116,"H",959,"H",4348,14,"GREENVILLE","NC","PITT"
"27837","GRIMESLAND, NC","G",203,"G",1945,"H",8125,58,"GRIMESLAND","NC","PITT"
"27839","HALIFAX, NC","G",1418,"G",14637,"G",59792,44,"HALIFAX","NC","HALIFAX"
"27840","HAMILTON, NC","J",286,"J",3861,"J",15664,7,"HAMILTON","NC","MARTIN"
"27842","HENRICO, NC","H",81,"G",544,"G",2495,22,"HENRICO","NC","NORTHAMPTON"
"27843","HOBGOOD, NC","G",141,"G",1583,"G",6617,9,"HOBGOOD","NC","HALIFAX"
"27844","HOLLISTER, NC","G",147,"G",1094,"G",4455,14,"HOLLISTER","NC","HALIFAX"
"27845","JACKSON, NC","H",267,"G",2148,"G",8935,37,"JACKSON","NC","NORTHAMPTON"
"27846","JAMESVILLE, NC","H",283,"H",2404,"H",10203,38,"JAMESVILLE","NC","MARTIN"
"27847","KELFORD, NC","J",29,"J",148,"J",594,6,"KELFORD","NC","BERTIE"
